Date	Temperatur Sensor 1 [ °C]	Temperatur Sensor 2 [ °C]	Temperatur Sensor 3 [ °C]	Temperatur Sensor 4 [ °C]	Drehzahl Pumpe 1 [ %]	Drehzahl Pumpe 2 [ %]	Relaismaske	Fehlermaske	Systemzeit	Schema	Option Kollektor Max.	Option Kollektor Min.	Option Kollektor Frost	Option Röhrenkollektor	Option Rückkühlung	Option WMZ	Betriebsstunden Relais 1	Betriebsstunden Relais 2	Wärmemenge [ Wh]	Version	
17.5.2011 21:34:21	15,3	52,1	56,5	19,0	0	0	0	0	21:37	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:35:22	15,2	52,1	56,5	19,0	0	0	0	0	21:38	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:36:24	15,1	52,1	56,4	18,9	0	0	0	0	21:39	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:37:24	15,0	52,0	56,5	18,9	0	0	0	0	21:40	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:38:26	15,0	52,0	56,5	18,9	0	0	0	0	21:41	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:39:27	14,9	51,9	56,4	18,9	0	0	0	0	21:42	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:40:27	14,9	51,9	56,4	18,9	0	0	0	0	21:43	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:41:29	14,8	51,9	56,4	18,9	0	0	0	0	21:44	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:42:30	14,7	51,9	56,4	18,9	0	0	0	0	21:45	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:43:32	14,6	51,8	56,3	18,9	0	0	0	0	21:46	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:44:33	14,5	51,6	56,4	18,9	0	0	0	0	21:47	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:45:34	14,5	51,5	56,3	18,9	0	0	0	0	21:48	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:46:35	14,4	51,2	56,3	18,9	0	0	0	0	21:49	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:47:37	14,3	51,1	56,3	18,9	0	0	0	0	21:50	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:48:37	14,3	50,9	56,3	18,9	0	0	0	0	21:51	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:49:39	14,2	50,7	56,3	18,9	0	0	0	0	21:52	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:50:40	14,1	50,6	56,3	18,9	0	0	0	0	21:53	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:51:42	14,1	50,4	56,3	18,9	0	0	0	0	21:54	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:52:43	14,0	50,3	56,3	18,8	0	0	0	0	21:56	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:53:44	13,9	50,3	56,3	18,8	0	0	0	0	21:57	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:54:45	13,8	50,1	56,2	18,8	0	0	0	0	21:58	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:55:46	13,7	50,1	56,2	18,8	0	0	0	0	21:59	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:56:47	13,7	50,1	56,2	18,8	0	0	0	0	22:00	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:57:48	13,6	50,0	56,1	18,7	0	0	0	0	22:01	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:58:50	13,6	49,9	56,1	18,7	0	0	0	0	22:02	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 21:59:51	13,4	49,7	56,1	18,7	0	0	0	0	22:03	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:00:53	13,4	49,7	56,1	18,7	0	0	0	0	22:04	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:01:53	13,3	49,6	56,0	18,7	0	0	0	0	22:05	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:02:55	13,2	49,6	55,9	18,7	0	0	0	0	22:06	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:03:55	13,2	49,5	55,9	18,7	0	0	0	0	22:07	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:04:45	13,1	49,4	55,9	18,7	0	0	0	0	22:08	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:05:50	13,1	49,3	55,9	18,7	0	0	0	0	22:09	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:06:45	13,0	49,3	55,8	18,7	0	0	0	0	22:10	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:07:52	12,9	49,2	55,8	18,7	0	0	0	0	22:11	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:08:53	12,8	49,2	55,8	18,7	0	0	0	0	22:12	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:09:55	12,8	49,2	55,8	18,6	0	0	0	0	22:13	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:10:56	12,6	49,2	55,7	18,6	0	0	0	0	22:14	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:11:57	12,6	49,1	55,7	18,6	0	0	0	0	22:15	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:12:58	12,5	49,1	55,6	18,6	0	0	0	0	22:16	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:14:00	12,4	49,0	55,6	18,6	0	0	0	0	22:17	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:15:01	12,4	49,0	55,6	18,6	0	0	0	0	22:18	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:16:03	12,3	49,0	55,6	18,6	0	0	0	0	22:19	3	0	0	0	0	0	1	779	71	1483648	1,00	
17.5.2011 22:17:03	12,2	49,0	55,5	18,5	0	0	0	0	22:20	3	0	0	0	0	0	1	779	71	1483648	1,00	
