	VBus #0: DeltaSol BS Plus (0x4221)																				
Date	Temperatur Sensor 1 [ °C]	Temperatur Sensor 2 [ °C]	Temperatur Sensor 3 [ °C]	Temperatur Sensor 4 [ °C]	Drehzahl Pumpe 1 [ %]	Drehzahl Pumpe 2 [ %]	Relaismaske	Fehlermaske	Systemzeit	Schema	Option Kollektor Max.	Option Kollektor Min.	Option Kollektor Frost	Option Röhrenkollektor	Option Rückkühlung	Option WMZ	Betriebsstunden Relais 1	Betriebsstunden Relais 2	Wärmemenge [ Wh]	Version	
20.5.2022 0:00:00	16,0	53,0	61,0	23,7	0	0	0	0	00:06	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:01:00	16,0	53,0	61,0	23,7	0	0	0	0	00:07	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:02:00	16,0	53,0	61,0	23,7	0	0	0	0	00:08	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:03:00	16,0	53,0	61,0	23,7	0	0	0	0	00:09	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:04:00	16,0	52,9	61,0	23,7	0	0	0	0	00:10	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:05:00	16,0	53,0	60,9	23,7	0	0	0	0	00:11	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:06:00	16,0	52,9	61,0	23,7	0	0	0	0	00:12	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:07:00	16,0	52,9	61,0	23,7	0	0	0	0	00:13	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:08:00	16,0	53,0	61,0	23,7	0	0	0	0	00:14	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:09:00	16,0	53,0	60,9	23,7	0	0	0	0	00:15	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:10:00	16,0	52,9	60,9	23,7	0	0	0	0	00:16	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:11:00	16,0	52,9	60,9	23,7	0	0	0	0	00:17	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:12:00	16,0	52,9	60,9	23,7	0	0	0	0	00:18	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:13:00	16,1	52,9	60,9	23,7	0	0	0	0	00:19	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:14:00	16,1	52,9	60,8	23,7	0	0	0	0	00:20	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:15:00	16,1	52,9	60,9	23,7	0	0	0	0	00:21	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:16:00	16,2	52,9	60,9	23,7	0	0	0	0	00:22	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:17:00	16,2	52,9	60,9	23,7	0	0	0	0	00:23	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:18:00	16,2	52,9	60,9	23,7	0	0	0	0	00:24	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:19:00	16,2	52,9	60,8	23,7	0	0	0	0	00:25	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:20:00	16,2	52,9	60,9	23,7	0	0	0	0	00:26	8	0	0	0	0	0	0	5329	925	5251824	1,00	
20.5.2022 0:21:00	16,3	52,9	60,8	23,7	0	0	0	0	00:27	8	0	0	0	0	0	0	5329	925	5251824	1,00	
