16.05.11|20:48|S0|46.1
16.05.11|20:48|S1|52.2
16.05.11|20:48|S2|19.0
16.05.11|20:48|S3|11.4
16.05.11|20:49|S0|46.1
16.05.11|20:49|S1|52.2
16.05.11|20:49|S2|19.1
16.05.11|20:49|S3|11.3
16.05.11|20:50|S0|46.1
16.05.11|20:50|S1|52.1
16.05.11|20:50|S2|19.0
16.05.11|20:50|S3|11.2
16.05.11|20:51|S0|46.0
16.05.11|20:51|S1|52.1
16.05.11|20:51|S2|19.1
16.05.11|20:51|S3|11.0
16.05.11|20:52|S0|46.0
16.05.11|20:52|S1|52.1
16.05.11|20:52|S2|19.1
16.05.11|20:52|S3|10.9
16.05.11|20:53|S0|45.9
16.05.11|20:53|S1|52.1
16.05.11|20:53|S2|19.0
16.05.11|20:53|S3|10.8
16.05.11|20:54|S0|45.9
16.05.11|20:54|S1|52.0
16.05.11|20:54|S2|19.1
16.05.11|20:54|S3|10.6
16.05.11|20:55|S0|45.9
16.05.11|20:55|S1|52.0
16.05.11|20:55|S2|19.0
16.05.11|20:55|S3|10.5
16.05.11|20:56|S0|45.9
16.05.11|20:56|S1|52.0
16.05.11|20:56|S2|18.9
16.05.11|20:56|S3|10.4
16.05.11|20:57|S0|45.8
16.05.11|20:57|S1|51.9
16.05.11|20:57|S2|19.0
16.05.11|20:57|S3|10.3
16.05.11|20:58|S0|45.8
16.05.11|20:58|S1|51.9
16.05.11|20:58|S2|19.0
16.05.11|20:58|S3|10.2
16.05.11|20:59|S0|45.8
16.05.11|20:59|S1|51.9
16.05.11|20:59|S2|18.9
16.05.11|20:59|S3|10.0
16.05.11|21:00|S0|45.8
16.05.11|21:00|S1|51.9
16.05.11|21:00|S2|19.0
16.05.11|21:00|S3|9.9
16.05.11|21:01|S0|45.8
16.05.11|21:01|S1|51.9
16.05.11|21:01|S2|18.9
16.05.11|21:01|S3|9.8
16.05.11|21:02|S0|45.8
16.05.11|21:02|S1|51.8
16.05.11|21:02|S2|18.9
16.05.11|21:02|S3|9.7
16.05.11|21:03|S0|45.8
16.05.11|21:03|S1|51.8
16.05.11|21:03|S2|18.9
16.05.11|21:03|S3|9.6
16.05.11|21:04|S0|45.7
16.05.11|21:04|S1|51.8
16.05.11|21:04|S2|18.9
16.05.11|21:04|S3|9.4
16.05.11|21:05|S0|45.7
16.05.11|21:05|S1|51.8
16.05.11|21:05|S2|18.9
16.05.11|21:05|S3|9.4
16.05.11|21:06|S0|45.7
16.05.11|21:06|S1|51.8
16.05.11|21:06|S2|18.9
16.05.11|21:06|S3|9.3
16.05.11|21:07|S0|45.6
16.05.11|21:07|S1|51.7
16.05.11|21:07|S2|18.9
16.05.11|21:07|S3|9.1
16.05.11|21:08|S0|45.6
16.05.11|21:08|S1|51.7
16.05.11|21:08|S2|18.9
16.05.11|21:08|S3|9.1
16.05.11|21:09|S0|45.6
16.05.11|21:09|S1|51.7
16.05.11|21:09|S2|18.9
16.05.11|21:09|S3|8.9
16.05.11|21:10|S0|45.6
16.05.11|21:10|S1|51.6
16.05.11|21:10|S2|18.9
16.05.11|21:10|S3|8.8
16.05.11|21:11|S0|45.6
16.05.11|21:11|S1|51.6
16.05.11|21:11|S2|18.9
16.05.11|21:11|S3|8.8
16.05.11|21:12|S0|45.6
16.05.11|21:12|S1|51.6
16.05.11|21:12|S2|18.9
16.05.11|21:12|S3|8.7
16.05.11|21:13|S0|45.6
16.05.11|21:13|S1|51.6
16.05.11|21:13|S2|18.9
16.05.11|21:13|S3|8.6
16.05.11|21:14|S0|45.6
16.05.11|21:14|S1|51.6
16.05.11|21:14|S2|18.9
16.05.11|21:14|S3|8.5
16.05.11|21:15|S0|45.6
16.05.11|21:15|S1|51.6
16.05.11|21:15|S2|18.9
16.05.11|21:15|S3|8.4
16.05.11|21:16|S0|45.6
16.05.11|21:16|S1|51.5
16.05.11|21:16|S2|18.9
16.05.11|21:16|S3|8.3
16.05.11|21:17|S0|45.5
16.05.11|21:17|S1|51.5
16.05.11|21:17|S2|18.9
16.05.11|21:17|S3|8.2
16.05.11|21:18|S0|45.6
16.05.11|21:18|S1|51.5
16.05.11|21:18|S2|18.8
16.05.11|21:18|S3|8.1
16.05.11|21:19|S0|45.5
16.05.11|21:19|S1|51.5
16.05.11|21:19|S2|18.8
16.05.11|21:19|S3|8.1
16.05.11|21:20|S0|45.5
16.05.11|21:20|S1|51.4
16.05.11|21:20|S2|18.8
16.05.11|21:20|S3|7.9
16.05.11|21:21|S0|45.5
16.05.11|21:21|S1|51.4
16.05.11|21:21|S2|18.8
16.05.11|21:21|S3|7.9
16.05.11|21:22|S0|45.5
